tissue_type,common,malignant,major_type,subtype,pannuke_label,hne_type,hne_label,pantissue_type,pantissue_label,sthelar_full_type,sthelar_full_label,sthelar_coarse_type,sthelar_coarse_label,sthelar_cancer_normal_type,sthelar_cancer_normal_label,lcp_type,lcp_label,markers,rank_source,low_support,comment
bladder,False,True,Malignant epithelial cells,Double-negative tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"EZH2,SOX9,TP63,KRT5,KRT14,BCL11A,FOXC1,MYC,YAP1,E2F1,CDC25A,KRT17,CD44,EGFR,RB1,TP53,KLF5,TGFBR2,ZEB1,ZEB2,SNAI1,TWIST1,ARID1A,PTEN,BIRC5,NEK2,AURKA,BUB1,CDCA5,CCNB1,PLK1,RRM2,TOP2A,HELLS,NCAPH,GINS2,HMGA2,CDKN2A,KIF20A,UBE2C,MKI67,CDK1,CDCA8,CENPE,TROAP,NCAPG,MCM2,MCM6,BUB1B,DTL",skipped,False,"AR/luminal-negative basal-driver program (EZH2, SOX9, TP63, FOXC1, MYC). Shared double-negative template (identical to prostate)."
bladder,False,True,Malignant epithelial cells,Micropapillary tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"ERBB2,ERBB3,ERBB4,GRB7,CD24,EPCAM,MUC1,MUC4,KRT7,KRT8,KRT18,KRT19,CLDN3,CLDN4,CLDN7,CLDN8,CLDN12,CDH1,CDH3,VIL1,RAB25,RAB11FIP1,RAB11FIP4,CEACAM5,CEACAM6,TACSTD2,S100P,CAV1,CAV2,ANXA1,ANXA2,TJP1,TJP2,EPC1,ESRP1,ESRP2,TMEM45B,AGR2,AGR3,HSP90AA1,HSPA5,PDLIM7,TSPAN1,TSPAN8,CD9,CD82,GATA3,FOXA1,PPARG,FOLR1",skipped,False,"HER2-axis micropapillary variant (ERBB2/3/4, GRB7, MUC1/4)."
bladder,False,True,Malignant epithelial cells,Plasmacytoid tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"CDH1,CDH2,EPCAM,SNAI1,SNAI2,VIM,FN1,ZEB1,ZEB2,SPARC,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,MMP9,MMP2,MMP14,TGFB1,TGFB2,COL1A1,COL1A2,COL3A1,COL4A1,COL5A1,FAP,PDGFRB,PDGFRA,LOX,LOXL2,SERPINE1,LUM,DCN,ACTA2,TGFBI,ITGA5,ITGA3,ITGA7,ITGB1,ITGB4,TWIST1,TWIST2,CAV1,MSLN,ANXA1,ANXA2,CXCL12,CXCR4,CD44,CD24",skipped,False,"E-cadherin-loss discohesive variant (CDH1 down, VIM/FN1/ZEB1, SNAI1/2)."
bladder,False,True,Malignant epithelial cells,Sarcomatoid-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"VIM,FN1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL12A1,COL16A1,COL18A1,SPARC,ZEB1,ZEB2,TWIST1,TWIST2,SNAI1,SNAI2,MMP2,MMP3,MMP9,MMP14,TGFBI,PDGFRA,PDGFRB,LOX,LOXL1,LOXL2,LOXL4,FAP,ACTA2,TAGLN,MYH11,MYH9,CALD1,ITGA5,ITGA2,ITGA11,ITGB1,ITGB3,CXCL12,POSTN,GAS1,IL6,IL11,IL32",skipped,False,"Mesenchymal/collagen program (VIM, FN1, COL1/3/4/5); spindle-cell dedifferentiation."
bladder,True,False,Epithelial cells,Umbrella urothelial cells,epithelial,Epithelial cells,epithelial,Epithelial,epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Normal,Normal,Parenchymal cell,Parenchymal cell,"CDH1,ELF3,KLF5,SDC1,CLDN4,PPARG,KRT8,TACSTD2,KRT19,CLDN7,KRT18,KRT7,RAB11FIP1,FABP4,S100P,GATA3,UPK1B,TMEM45B,RAB25,CD24,ESRP1,TJP1,UPK1A,FXYD3,EPCAM,FOXA1,SCNN1A,ERBB3,GRHL2,UPK3A,CD9,SDC4,MUC1,ERBB4,HSD17B2,ERBB2,PRR15,ELF5,CEACAM1,CLDN23,EMP2,TJP3,UPK2,CLDN3,ESRP2,AP1S3,RAB11FIP4,KRT20,SCNN1B,FASN",skipped,False,"Superficial urothelium - uroplakin/PPARG/KLF5, KRT8, TACSTD2."
bladder,True,False,Epithelial cells,Intermediate urothelial cells,epithelial,Epithelial cells,epithelial,Epithelial,epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Normal,Normal,Parenchymal cell,Parenchymal cell,"CDH1,ELF3,KLF5,PPARG,CLDN4,GPX2,TACSTD2,KRT19,KRT8,CLDN7,RAB11FIP1,KRT7,KRT18,FABP4,S100P,TMEM45B,GATA3,KRT13,GRHL3,KRT17,CD24,RAB25,ESRP1,EPCAM,SCNN1A,FOXA1,ARL14,GRHL2,ERBB3,TJP1,MUC1,ERBB4,HSD17B2,TMPRSS11E,FASN,ERBB2,ELF5,TP63,CEACAM1,EMP2,TJP3,KRT80,CLDN3,ESRP2,SCNN1B,FGFBP1,OVOL2,AP1S3,DSG3,MS4A8",skipped,False,"Mid-layer urothelium; ELF3/KLF5/PPARG, GPX2, KRT19."
bladder,True,False,Epithelial cells,Basal urothelial cells,epithelial,Epithelial cells,epithelial,Epithelial,epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Normal,Normal,Parenchymal cell,Parenchymal cell,"TJP2,KRT15,DSG3,KRT5,KRT23,SFN,ITGA3,ITGA2,CLDN7,LAMC2,ITGA6,KLF5,KRT17,KRT16,TACSTD2,LAMB3,CLDN4,ITGB4,CLDN1",skipped,False,"Basal urothelium - KRT5/15/23, DSG3, ITGA2/3, SFN."
bladder,True,False,Stromal cells,Detrusor smooth muscle cells,connective,Smooth muscle cells,smooth_muscle,Stromal / mesenchymal,stromal,Specialized,Specialized,Other,Other,Normal,Normal,Fibroblast,Fibroblast,"MYH11,SYNM,ACTG2,CACNA1C,DES,KCNMA1,CACNB2,CNN1,SMTN,MYLK,TPM2,MYL9,LMOD1,TAGLN,TPM1,MYOCD,TNS1,ACTA2,RYR2,CASQ2,PDLIM7,KCNQ5,PDLIM3,CALD1,ITGA7,PPP1R12B,LPP,KCNMB1,LDB3,ACTN2,KCNK3,PPP1R12A,CAV1",skipped,False,"Visceral smooth muscle - MYH11, ACTG2, DES, CNN1, CACNA1C."
bladder,True,False,Stromal cells,Bladder fibroblasts,connective,Fibroblast-like,fibroblast_like,Stromal / mesenchymal,stromal,Fibroblast / myofibroblast,Fibroblast_Myofibroblast,Stromal,Stromal,Normal,Normal,Fibroblast,Fibroblast,"DCN,COL6A2,COL1A2,COL6A1,PDGFRA,COL6A3,LUM,MMP2,AEBP1,FBLN5,IGFBP6,FBN1,MFAP4,COL1A1,COL3A1,IGFBP7,FBLN1,COL5A2,FBLN2,COL14A1,SFRP2,PCOLCE2,MATN2,PCOLCE,FN1,PDGFRB,ISLR,TNXB,COL5A1,COL12A1,IGFBP5,MFAP5,CD34,ELN,PTN,CXCL12,COL16A1,ADAMTS2,VIM,VCAN,LOX,ADAMTS4,COL8A1,BGN,THY1,CXCL14,ITGA11,MFAP2,FAP,MMP14",skipped,False,"Stromal fibroblasts - DCN, COL6/COL1, PDGFRA, LUM, MMP2."
bladder,True,False,Vascular cells,Bladder endothelial cells,connective,Endothelial cells,endothelial,Endothelial,endothelial,Blood vessel / endothelial,Blood_vessel,Stromal,Stromal,Normal,Normal,Endothelial cell,Endothelial cell,"PECAM1,VWF,EMCN,ADGRL4,ERG,PLVAP,FLT1,PTPRB,ECSCR,ACKR1,SPARCL1,GNG11,CLEC14A,RAMP3,ENG,TSPAN7,SOX18,CAV1,ESAM,CLDN5,CDH5,RAMP2,EPAS1,HSPG2,RHOJ,TIE1,TEK,KDR,CD34,SELE,NRP1,ROBO4,SOX7,EFNB2,CAV2,DLL4,SOX17,NOTCH4,ICAM2,NRP2,ICAM1,BMX,VCAM1,ANGPT2,MCAM,RBP7,NOS3,HHEX,EDN1,PRKD1",skipped,False,"Vascular endothelium - PECAM1, VWF, EMCN, ERG, FLT1."
bladder,True,False,Vascular cells,Lymphatic endothelial cells,connective,Endothelial cells,endothelial,Endothelial,endothelial,Blood vessel / endothelial,Blood_vessel,Stromal,Stromal,Normal,Normal,Endothelial cell,Endothelial cell,"PTPRB,ENG,KDR,EMCN,COL4A1,NRP2,TEK,COL4A2,NRP1,PECAM1,ESAM,TIE1,RAMP2,EFNB2,RELN,TSPAN7,ITGA9,FLT4,LYVE1,SOX18,MMRN1,GJA4,ADM,AQP1,SOX17,ANGPT2,PDGFB,VEGFC,COL15A1,FOXC1,PROCR,GJA5,FABP4,CCL21",skipped,False,"Lymphatic EC - PTPRB, NRP2, TEK, EMCN; pan-tissue shared LEC signature."
bladder,True,False,Vascular-associated cells,Pericytes,connective,Pericytes,pericyte,Stromal / mesenchymal,stromal,Specialized,Specialized,Other,Other,Normal,Normal,Fibroblast,Fibroblast,"PDGFRB,NOTCH3,FN1,ABCC9,RGS5,COL4A1,EDNRA,COL4A2,COL18A1,TIMP3,MYL9,CSPG4,MCAM,KCNJ8,SERPINH1,CD248,PRRX1,TAGLN,ACTA2,ITGA7",skipped,False,"Mural pericytes - PDGFRB, NOTCH3, RGS5, ABCC9; pan-tissue shared pericyte signature."
bladder,False,False,Neuronal cells,Enteric neurons,background,Neurons,neuron,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"ELAVL4,UCHL1,PHOX2B,HAND2,PRPH,TUBB3,DCX,L1CAM,NEFM,GAL,MAP2,SCN9A,TAC3,RET,GABRB3,VIP,NEFL,DLX5,CNTNAP2,SLC18A3,PENK,GRIA2,PTPRN,NOS1,CUX2,HTR3A,TAC1,TH,CNTN2,LMO1,POU3F2,CHAT,SLC17A6,SCN10A",skipped,False,"Enteric neurons - ELAVL4, PHOX2B, HAND2, PRPH, TUBB3; shared enteric-neuron signature."
bladder,False,False,Glial cells,Enteric glial cells,background,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"PLP1,S100B,MPZ,PTPRZ1,SPARC,CNP,SOX10,PMP22,NDRG2,ERBB4,ERBB3,DHH,FABP7,AQP4,OLIG2,MAG",skipped,False,"Enteric glia - PLP1, S100B, SOX10, MPZ; shared enteric-glia signature."
bladder,True,False,Immune cells,Bladder tissue-resident macrophages,inflammatory,Macrophage-like,macrophage_like,Myeloid,myeloid,Myeloid,Myeloid,Immune,Immune,Normal,Normal,Macrophage,Macrophage,"AIF1,TYROBP,MS4A6A,CD163,CD14,FCGR2A,ITGB2,VSIG4,C1QA,MRC1,C1QB,C1QC,STAB1,CSF1R,TGFBI,ITGAX,FCGR3A,ITGAM,MARCO,MSR1,FCGR2B,IL10,CTSB,LYVE1,CLEC4E,SIGLEC1,MMP9,CD163L1,PLAUR,LILRB5,CD68,HCST,SYK,OSM,CXCL16,TREM2,APOE,CCR5,SPP1,CCL18,LPL,CCR2,CTSL,CCL22",skipped,False,"Tissue-resident macrophages - AIF1, CD163, CD14, VSIG4."
bladder,True,False,Immune cells,Tumor-infiltrating CD8+ T cells,inflammatory,Lymphocytes,lymphocyte,Lymphoid,lymphoid,T / NK lymphocytes,T_NK,Immune,Immune,Normal,Normal,CD8 T,CD8 T,"CXCR4,IL7R,CD2,RUNX3,CD3D,CD3E,STAT4,TRBC2,CD3G,TRAC,TOX,LCK,TRBC1,CD8A,SH2D2A,GZMA,CD28,NKG7,IL2RB,CXCR6,PRF1,CD8B,GZMB,ITGAL,SH2D1A,IL12RB2,CTLA4,STAT5B,GZMK,IRF4,CCR7,CRTAM,IL10RA,TIGIT,CD27,GZMH,PDCD1,IFNG,CXCR3,TBX21,BATF,CD160,GNLY,SELL,FASLG,EOMES,CXCR5,CD244,ZNF683,IL21",skipped,False,"T-cell core (CD3D/E, TRBC2) + cytotox/chemokine; generic T markers, not strongly CD8-restricted (caveat)."
bladder,False,False,Immune cells,Intratumoral plasma cells,inflammatory,Plasma cells,plasma_cell,Plasma cell,plasma,B / plasma cells,B_Plasma,Immune,Immune,Normal,Normal,Plasma cell,Plasma cell,"MZB1,JCHAIN,DERL3,IGHA1,FKBP11,TENT5C,SEC11C,IGHA2,IGKC,TNFRSF17,CD27,SLAMF7,CD38,PIM2,SSR4,PRDM1,CRELD2,IRF4,IGLC2,SSR3,PDIA6,SEL1L,HSP90B1,SEC61B,PDIA4,XBP1,DERL1,HSPA5,BIRC3,IGLC3,PPIB,IGHG1,IGHG3,CALR,ITM2C,BCL2,CCR10,IGHG4,TXNDC5,IGHG2,DERL2,HYOU1,IGHM,CXCR4,CD19,CD28",skipped,False,"Plasma cells - MZB1, JCHAIN, DERL3, IGHA1/2; pan-tissue shared plasma signature."
bladder,False,False,Mesothelial cells,Serosal mesothelial cells,epithelial,Mesothelial cells,mesothelial,Epithelial,epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Normal,Normal,Parenchymal cell,Parenchymal cell,"COL3A1,SPARC,UPK3B,MYL9,COL1A1,TPM1,TPM2,WT1,PDPN,ALDH1A2,MSLN,CLDN15,KRT18,ANXA2,SLPI,KRT19,KRT8,COL4A2,UPK1B,EZR",skipped,False,"Mesothelium - UPK3B, WT1, MSLN-adjacent; shared mesothelial signature."
brain,True,True,Malignant glial cells,Classical glioblastoma cells,neoplastic,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"ITGA2,ERBB3,FGFR3,ITGB4,NOTCH1",skipped,False,"Classical GBM (EGFR axis); only 5 genes (ITGA2, ERBB3, FGFR3, ITGB4, NOTCH1) - minimal, lacks EGFR/CDKN2A (caveat)."
brain,True,True,Malignant glial cells,Mesenchymal glioblastoma cells,neoplastic,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"COL4A5,ITGA2,ANGPTL4,IL1B,IL1A",skipped,False,"Mesenchymal GBM; 5 genes (COL4A5, ITGA2, ANGPTL4, IL1A/B) - minimal, inflammatory lean; lacks CHI3L1/CD44 (caveat)."
brain,True,True,Malignant glial cells,Proneural glioma stem-like cells,neoplastic,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"NKX6-2,ERBB3,FGFR3,SOX10,NKX2-2,ITGB4,GPR17,OLIG1",skipped,False,"Proneural/OPC-like glioma stem (OLIG1, SOX10, NKX2-2, GPR17, ERBB3, FGFR3)."
brain,True,True,Malignant glial cells,Diffuse midline glioma H3K27-altered cells,neoplastic,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"FGFR2,COL9A2,OLIG1,SOX10,NKX2-2,ITGB4,OLIG2",skipped,False,"Diffuse midline glioma H3K27-altered (OLIG1/2, SOX10, NKX2-2, FGFR2); pediatric pontine glioma."
brain,False,False,Progenitor cells,Neural stem/progenitor cells,background,Basaloid progenitor cells,basaloid_progenitor,Epithelial,epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Normal,Normal,Parenchymal cell,Parenchymal cell,"SOX2,VIM,TMSB15A,HES6,FABP7,NES,HES5,TOP2A,PAX6,MKI67,SOX3,CD24,HES1,SOX1,CDC20,DLK1,DLX2,ID3,EOMES,MSI1,ID1,ASCL1",skipped,False,"Neural stem/progenitor - SOX2, NES, FABP7, HES5/6, VIM, TOP2A."
brain,True,False,Neuronal cells,Excitatory glutamatergic neurons,background,Neurons,neuron,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"SYT1,GRIN2B,PCLO,SCN2A,HCN1,SNAP25,GRIA1,GRM5,GRIN1,SCN8A,CAMK2B,MAP2,STXBP1,GRIN2A,SHANK2,NRXN1,SCN1A,KCNQ3,CAMK4,CAMK2A,GRIA2,GRIA3,HOMER1,TSPAN7,NRXN3,BSN,BCL11A,GRM1,GRIA4,SV2A,SYT7,KCNQ2,DLG2,SLC8A2,SHANK1,SYT4,NRXN2,KCNH3,NEFL,SATB2,SLC17A7,CTNND2,CUX2,STX1A,BCL11B,NEFM,MAP1B,FOXP1,DLG4,TBR1",skipped,False,"Glutamatergic neurons - SYT1, GRIN2B, GRIA1, SNAP25, SCN2A."
brain,True,False,Neuronal cells,Inhibitory interneurons,background,Neurons,neuron,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"GABRB3,GABBR2,GABRB2,GABRG2,GRIK2,KCNC2,GABRG3,NRXN1,KCND2,CNTNAP2,GABRA1,GABRB1,KCNB1,GABRA4,SLC12A5,NRXN3,GABRA2,KCNC1,CCK,CNTNAP1,GABRA3,GABRA5,GABRD,GAD2,GABBR1,GAD1,GRIK1,NTNG1,SCG2,GRIN2D,LAMP5,KCNK3,GPR149,RELN,KCNK4,CALB2,CALB1,SLC32A1,TAC1,LHX6,KIT,SST,CRH,VIP,PVALB,CRHBP,DLX1,HTR2C,GADL1,HTR1A",skipped,False,"GABAergic interneurons - GABRB/G subunits, GRIK2, NRXN1."
brain,True,False,Glial cells,Astrocytes,background,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"SLC1A3,MEGF10,FGFR2,GPR37,KCNJ10,SOX10,FGFR3,GPR37L1,PLEKHB1,S100B,ITGB4,SLC14A1,GJA1,SLCO1C1,GFAP,AQP4,ALDH1L1,LIFR,GJB6,ANGPTL4",skipped,False,"Astrocytes - SLC1A3, GPR37L1, KCNJ10, MEGF10; SOX10/FGFR3 overlap with OPC (caveat)."
brain,True,False,Glial cells,Oligodendrocytes,background,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"BCAS1,TMEM144,ST18,UGT8,ENPP2,PLP1,TF,MOBP,FA2H,MOG,QKI,MYRF,TMEM63A,CNP,MAG,SH3TC2,MAL,MBP,FGFR2,ASPA,ERMN,GPRC5B,NKX6-2,OPALIN,GPR37,PPP1R14A,APOD,OLIG1,FGFR3,KLK6,SOX10,PTGDS,NKX2-2,HAPLN2,ERBIN,TMEM125,OLIG2,CLDN11",skipped,False,"Myelinating oligodendrocytes - PLP1, MOBP, UGT8, ST18, TF."
brain,True,False,Glial cells,Oligodendrocyte precursor cells,background,Glial cells,glial,Neural,neural,Specialized,Specialized,Other,Other,Normal,Normal,Parenchymal cell,Parenchymal cell,"ENPP2,NKX6-2,FGFR2,GPR37,OLIG1,SOX10,FGFR3,NKX2-2,ITGB4,GPR17",skipped,False,"Oligodendrocyte precursors - OLIG1, SOX10, NKX6-2, PDGFRA axis; only 10 genes."
