tissue_type,common,malignant,major_type,subtype,pannuke_label,hne_type,hne_label,markers,rank_source,low_support
bladder,False,True,Malignant epithelial cells,Double-negative tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"EZH2,SOX9,TP63,KRT5,KRT14,BCL11A,FOXC1,MYC,YAP1,E2F1,CDC25A,KRT17,CD44,EGFR,RB1,TP53,KLF5,TGFBR2,ZEB1,ZEB2,SNAI1,TWIST1,ARID1A,PTEN,BIRC5,NEK2,AURKA,BUB1,CDCA5,CCNB1,PLK1,RRM2,TOP2A,HELLS,NCAPH,GINS2,HMGA2,CDKN2A,KIF20A,UBE2C,MKI67,CDK1,CDCA8,CENPE,TROAP,NCAPG,MCM2,MCM6,BUB1B,DTL",skipped,False
bladder,False,True,Malignant epithelial cells,Micropapillary tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"ERBB2,ERBB3,ERBB4,GRB7,CD24,EPCAM,MUC1,MUC4,KRT7,KRT8,KRT18,KRT19,CLDN3,CLDN4,CLDN7,CLDN8,CLDN12,CDH1,CDH3,VIL1,RAB25,RAB11FIP1,RAB11FIP4,CEACAM5,CEACAM6,TACSTD2,S100P,CAV1,CAV2,ANXA1,ANXA2,TJP1,TJP2,EPC1,ESRP1,ESRP2,TMEM45B,AGR2,AGR3,HSP90AA1,HSPA5,PDLIM7,TSPAN1,TSPAN8,CD9,CD82,GATA3,FOXA1,PPARG,FOLR1,FUT8,LGALS3,MSLN,SYK,BAG1,PRSS8,CEBPB,SPINT2,FASN,ABCB1,CLIC3,TACSTD1,DPP4,ITGA6,ITGB4,ITGA3,LAMC2,LAMB3,ST14,BCAM,SPINT1,EMP2,PERP,MAL2,SLC35F2,RAB13,SYTL2,PTK6",skipped,False
bladder,False,True,Malignant epithelial cells,Plasmacytoid tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"CDH1,CDH2,EPCAM,SNAI1,SNAI2,VIM,FN1,ZEB1,ZEB2,SPARC,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,MMP9,MMP2,MMP14,TGFB1,TGFB2,COL1A1,COL1A2,COL3A1,COL4A1,COL5A1,FAP,PDGFRB,PDGFRA,LOX,LOXL2,SERPINE1,LUM,DCN,ACTA2,TGFBI,ITGA5,ITGA3,ITGA7,ITGB1,ITGB4,TWIST1,TWIST2,CAV1,MSLN,ANXA1,ANXA2,CXCL12,CXCR4,CD44,CD24,SYK,MUC1,FOXA2,TACSTD2,CLIC1,TGFBR1,TGFBR2,GPC3,GDF15,HIF1A,RHOA,TNS1,VCAN,LAMC2,LAMB3,VTN,ITGAV,PIK3CD,SOX10,FOXC2,CXADR,CEACAM4,LAMC3,MFGE8,SIRPA",skipped,False
bladder,False,True,Malignant epithelial cells,Sarcomatoid-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"VIM,FN1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL12A1,COL16A1,COL18A1,SPARC,ZEB1,ZEB2,TWIST1,TWIST2,SNAI1,SNAI2,MMP2,MMP3,MMP9,MMP14,TGFBI,PDGFRA,PDGFRB,LOX,LOXL1,LOXL2,LOXL4,FAP,ACTA2,TAGLN,MYH11,MYH9,CALD1,ITGA5,ITGA2,ITGA11,ITGB1,ITGB3,CXCL12,POSTN,GAS1,IL6,IL11,IL32,LUM,DCN,TNC,BGN,VCAN,CDH11,PDPN,GDF15,YAP1,TEAD1,S100A4,CD44,EZH2,HIF1A,THBS1,THBS2,TGFBR2,ACAN,PALLD,ANGPT2,ANGPTL2,ANGPTL4,TIMP1,TIMP2,SPP1,ADAM12,ADAM19,COL21A1,ITGA10,PDGFD,MXRA8,ADAMTS15",skipped,False
bladder,True,False,Epithelial cells,Umbrella urothelial cells,epithelial,Epithelial cells,epithelial,"UPK1A,UPK1B,UPK2,UPK3A,KRT20,KRT7,KRT8,KRT18,KRT19,GATA3,GRHL2,PPARG,FOXA1,FOXA2,CLDN3,CLDN4,CLDN7,CLDN8,CLDN12,CDH1,EPCAM,MUC1,MUC3A,MUC13,S100P,CEACAM5,CEACAM6,CEACAM7,DSG3,DSC2,RAB25,RAB11FIP1,KLF5,KLF4,MSLN,TACSTD2,TPM1,VIL1,ESRP1,ESRP2,FOLR1,ANKRD30A,TJP1,TJP2,TJP3,TMEM45B,EMP2,ERBB2,ERBB3,ERBB4,ELF3,ELF5,CD24,FABP4,FASN,HSPA1A,HSPA1B,RAB11FIP4,AP1S3,FOLR2,SCNN1A,SCNN1B,SCNN1G,MS4A8,HSD17B2,FXYD3,ATP6V1B1,ATP6V0D2,SPDEF,CEACAM1,SDC1,SDC4,CD9,CD63,CD151,MAL,PRR15,CLDN23,KRT8P3,KRT24",skipped,False
bladder,True,False,Epithelial cells,Intermediate urothelial cells,epithelial,Epithelial cells,epithelial,"KRT8,KRT18,KRT19,KRT7,KRT17,KRT13,KRT4,GATA3,GRHL2,GRHL3,PPARG,FOXA1,TP63,TACSTD2,DSG3,DSC2,CDH1,EPCAM,CEACAM5,CEACAM6,CEACAM1,S100P,CLDN3,CLDN4,CLDN7,MUC1,RAB25,RAB11FIP1,TMEM45B,TJP1,TJP2,TJP3,VIL1,ERBB2,ERBB3,ERBB4,ELF3,ELF5,CD24,ESRP1,ESRP2,KLF5,KLF4,OVOL2,ANXA1,ANXA3,SCNN1A,SCNN1B,SCNN1G,FOLR1,EMP2,MSLN,FABP4,FASN,RAB11FIP5,MS4A8,AP1S3,HSD17B2,AKAP12,KRT80,GPX2,GATA6,TACSTD1,BPIFA1,DHRS9,TMPRSS11E,FGFBP1,ARL14",skipped,False
bladder,True,False,Epithelial cells,Basal urothelial cells,epithelial,Epithelial cells,epithelial,"KRT5,KRT14,KRT6A,KRT6B,KRT6C,KRT17,KRT15,KRT23,TP63,DSG3,DSC2,ITGA6,ITGB4,ITGB6,ITGB8,ITGA2,ITGA3,ITGA7,COL17A1,LAMC2,LAMB3,LAMA3,CDH3,CLDN1,CLDN4,CLDN7,EGFR,ERBB2,ERBB3,SFN,BIRC5,KRT16,PVRL4,GJB2,GJB6,EMP1,TACSTD2,RHCG,LORICRIN,IVL,CAV1,CAV2,FABP5,ITGB1,FASN,TGM1,TGM3,SPRR1A,SPRR2A,SPRR2D,SPRR2E,RHOV,CEBPB,KLF5,TJP1,TJP2,CD63,RHOB,JUN,CD44,LGR5,GRHL3,PKP1,PKP2,S100A8,S100A9,AREG,HBEGF,SOX4,SOX9,HEY1,HEY2,FOXO1,PIK3CA,KRT6E,KRT6F,KRT16P2,LCE1E,PPL",skipped,False
bladder,True,False,Stromal cells,Detrusor smooth muscle cells,connective,Smooth muscle cells,smooth_muscle,"ACTA2,ACTG2,MYH11,MYH9,MYL9,MYL1,MYL6,MYL12A,MYLK,MYLK2,MLCK,MYLK3,TPM1,TPM2,TPM3,TPM4,TAGLN,TAGLN2,CNN1,CNN2,CNN3,MYOCD,SRF,TEAD1,TEAD3,DES,SMTN,SMTNL1,LMOD1,LMOD2,CAV1,CAV2,SPARC,PDGFRA,PDGFRB,CALD1,TNS1,VCL,SYNM,KCNMB1,KCNMA1,KCNQ5,KCNJ8,KCNJ2,KCNK3,KCNK5,CACNA1C,CACNB2,CACNB3,RYR2,GUCY1A1,GUCY1B1,KLF4,KLF5,NOTCH3,HEY1,HEY2,SMAD2,SMAD3,SMAD4,PDLIM3,PDLIM5,PDLIM7,PPP1R12B,PPP1R12A,ARHGEF1,ARHGEF12,DMPK,TNS3,LPP,AEBP1,CALM1,CALM2,CALML3,EPHB6,ITGA7,ITGA8,SPP1,VCAM1,TNNI2,TNNI1,ACTN2,LDB3,CASQ2",skipped,False
bladder,True,False,Stromal cells,Bladder fibroblasts,connective,Fibroblast-like,fibroblast_like,"COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A1,COL8A2,COL12A1,COL14A1,COL15A1,COL16A1,DCN,LUM,BGN,FBLN1,FBLN2,FBLN5,FBN1,FBN2,MFAP4,MFAP5,ELN,PDGFRA,PDGFRB,AEBP1,LOX,LOXL1,LOXL2,LOXL3,TNXB,TNC,TGFBI,MMP2,MMP3,MMP11,MMP14,MMP19,CXCL12,CXCL14,GREM1,GREM2,THY1,VIM,ACTA2,TAGLN,ITGA11,ITGA5,ITGB1,ITGB3,TGFB1,POSTN,SERPINH1,VCAN,FN1,SFRP2,PTN,FAP,CD34,ISLR,PCOLCE,PCOLCE2,MATN2,CHST3,ADAMTS2,ADAMTS4,ADAMTS12,AOC3,FMO1,IGFBP3,IGFBP5,IGFBP7,MFAP2,COL27A1,COL8A3,PCOLCE3,IGFBP6",skipped,False
bladder,True,False,Vascular cells,Bladder endothelial cells,connective,Endothelial cells,endothelial,"PECAM1,CDH5,VWF,KDR,FLT1,TEK,TIE1,EMCN,ESAM,CLDN5,OCLN,ENG,ICAM1,ICAM2,VCAM1,SELE,SELPLG,RAMP2,RAMP3,PLVAP,PTPRB,CD34,SPARCL1,EPAS1,ERG,SOX7,SOX17,SOX18,NOTCH4,NOTCH1,VEGFA,ANGPT1,ANGPT2,TSPAN7,CAV1,CAV2,RBP7,APLN,HHEX,GNG11,RGS5,PROCR,ACKR1,ACKR3,EFNB2,ECSCR,TJP1,TJP2,MCAM,HSPG2,ADGRL4,DARC,RHOJ,NRP1,NRP2,DLL4,JAG1,HEY1,HEY2,CLEC14A,ESRRG,EDN1,NOS3,ESM1,BMX,ROBO4,BMP4,FOXO1,PRKD1,GJA5,BMPER,SOX12,MFSD2A,SPRY4",skipped,False
bladder,True,False,Vascular cells,Lymphatic endothelial cells,connective,Endothelial cells,endothelial,"RAMP2,ENG,ESAM,EMCN,SOX18,COL4A1,TIE1,PTPRB,PECAM1,COL15A1,COL4A2,KDR,NRP1,TSPAN7,MADCAM1,TEK,COL18A1,NRP2,SOX17,MMRN1,AQP1,PDGFB,GATA2,FABP4,LYVE1,EFNB2,FLT4,GJA4,ANGPT2,VEGFC,ITGB1,CCL21,FOXC1,ADM,GJA5,PROCR,RELN,PROX1,ITGA9,FOXC2",census,False
bladder,True,False,Vascular-associated cells,Pericytes,connective,Pericytes,pericyte,"PDGFRB,COL4A2,COL4A1,ACTA2,MYL9,NOTCH3,MCAM,TAGLN,THY1,EDNRA,COL18A1,COL5A2,RGS5,ANGPT2,SERPINH1,CD248,KCNJ8,TIMP3,COL5A1,MYLK,ABCC9,CSPG4,FN1,LOXL2,ITGA7,ELN,MYH11,PRRX1,ITGB1",census,False
bladder,False,False,Neuronal cells,Enteric neurons,background,Neurons,neuron,"ELAVL4,UCHL1,PHOX2B,HAND2,PRPH,TUBB3,DCX,L1CAM,NEFM,GAL,MAP2,SCN9A,TAC3,RET,GABRB3,VIP,NEFL,DLX5,CNTNAP2,SLC18A3,PENK,GRIA2,PTPRN,NOS1,CUX2,HTR3A,TAC1,TH,CNTN2,LMO1,POU3F2,CHAT,SLC17A6,SCN10A",census,False
bladder,False,False,Glial cells,Enteric glial cells,background,Glial cells,glial,"PLP1,S100B,MPZ,PTPRZ1,SPARC,CNP,SOX10,PMP22,NDRG2,ERBB4,ERBB3,DHH,FABP7,AQP4,OLIG2,MAG",census,False
bladder,True,False,Immune cells,Bladder tissue-resident macrophages,inflammatory,Macrophage-like,macrophage_like,"LYVE1,MRC1,CD163,CD14,CSF1R,ITGAM,ITGAX,ITGB2,ITGAL,MSR1,MARCO,VSIG4,SPP1,SPARC,VCAM1,C1QA,C1QB,C1QC,CCR2,CCR5,CX3CR1,IL10,IL6,TGFB1,MMP9,MMP14,ALOX5AP,PLAUR,APOE,LPL,CTSB,CTSD,CTSL,GPNMB,STAB1,STAB2,SEPP1,TGFBI,CHI3L1,CD68,AIF1,TYROBP,TREM2,FCGR2A,FCGR2B,FCGR3A,HCST,SYK,ITGB1,ITGA5,CD163L1,OSM,VEGFA,ANGPT2,CCL18,CCL22,CXCL16,ARG1,NOS2,SIGLEC1,CLEC4E,MS4A6A,PLXDC2,LILRB5",skipped,False
bladder,True,False,Immune cells,Tumor-infiltrating CD8+ T cells,inflammatory,Lymphocytes,lymphocyte,"CD8A,CD8B,CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,LCK,GZMB,PRF1,GZMA,GZMK,GZMH,GNLY,NKG7,IFNG,TBX21,EOMES,STAT4,STAT5B,IL2RB,IL7R,CCR5,CXCR3,CXCR6,CXCR4,ITGAL,ITGB2,ICAM1,SH2D1A,SH2D2A,PDCD1,CTLA4,LAG3,TIGIT,HAVCR2,ENTPD1,TOX,TOX2,BATF,IRF4,PRDM1,BCL6,BCL2,CCR7,SELL,CD27,CD28,CD244,CD160,FASLG,CXCL13,IL21,IL10RA,IL12RB2,IFITM1,IFI6,GBP5,CRTAM,ZNF683,HOPX,RUNX3,CXCR5",skipped,False
bladder,False,False,Immune cells,Intratumoral plasma cells,inflammatory,Plasma cells,plasma_cell,"SDC1,PRDM1,IRF4,XBP1,MZB1,JCHAIN,TNFRSF17,DERL3,HSPA5,HSP90B1,SSR4,IGHG1,IGHG2,IGHG3,IGHG4,IGHA1,IGHA2,IGHM,IGKC,IGLC2,IGLC3,PPIB,PDIA4,PDIA6,CALR,HYOU1,CRELD2,CANX,FKBP11,TXNDC5,SEL1L,SEC61B,TMEM109,BIRC3,BCL2,CD38,CD27,CD28,SLAMF7,IL6R,CXCR4,CCR10,ITM2C,SLC30A1,SLC39A7,ULBP1,BCMA,TENT5C,PRAF1,FAM46C,CD40,CD19,MS4A1,ICOSLG,IL10,IL21R,DERL1,SSR3,ELL2,TNFSF13,PIM2,DERL2,SEC11C",skipped,False
bladder,False,False,Mesothelial cells,Serosal mesothelial cells,epithelial,Mesothelial cells,mesothelial,"COL3A1,SPARC,UPK3B,MYL9,COL1A1,TPM1,TPM2,WT1,PDPN,ALDH1A2,MSLN,CLDN15,KRT18,ANXA2,SLPI,KRT19,KRT8,COL4A2,UPK1B,EZR",census,False
brain,True,True,Malignant glial cells,Classical glioblastoma cells,neoplastic,Glial cells,glial,"EGFR,NES,SOX2,PROM1,OLIG2,PDGFRA,CCND2,CCNE2,CDK4,MDM2,TTYH1,CHI3L1,CHI3L2,LGALS3,SPARC,VIM,MKI67,TOP2A,AURKA,UBE2C,BIRC5,FOXM1,ASPM,CDC20,KIF11,KIF23,TPX2,CENPF,RRM2,PTTG1,PBK,DLGAP5,STMN1,MYC,CD44,SPP1,ITGA6,ITGB4,ITGB1,ITGA5,ITGA2,ITGA7,PDGFRB,MET,ERBB2,ERBB3,PIK3CA,PIK3R1,AKT1,PTEN,STAT3,NFKBIA,RELB,SOX4,SOX9,NOTCH1,NOTCH3,HEY1,HEY2,IDH1,TERT,FGFR1,FGFR3,FGF2,ANGPTL4,VEGFA,MMP2,MMP9,MMP14,COL1A1,COL1A2,SERPINE1,CD274,SEC61G,PHLDA1,GPRASP1,TNFRSF12A,SLC2A3",skipped,False
brain,True,True,Malignant glial cells,Mesenchymal glioblastoma cells,neoplastic,Glial cells,glial,"CHI3L1,CHI3L2,LGALS3,LGALS3BP,CD44,ITGA5,ITGB1,ITGB8,ITGA2,ITGA7,ITGA1,ITGA3,ITGA11,ITGB3,ITGB5,PDGFRB,PDGFRA,ACTA2,TAGLN,VIM,S100A10,PLAU,PLAUR,TGFB1,TGFB2,TGFB3,REL,RELA,RELB,NFKBIA,BCL3,STAT1,STAT2,STAT3,CXCL8,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,IL1A,IL1B,IL6,TNFAIP3,ZEB1,SNAI2,PDPN,THY1,SERPINE1,SERPINH1,TIMP1,MMP2,MMP3,MMP9,MMP13,MMP14,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL12A1,LOX,LOXL1,LOXL2,SPARC,FN1,VEGFA,VEGFB,ANGPT1,ANGPT2,ANGPTL4,ICAM1,VCAM1,COL4A5,SERPINE2,ANXA2,NCKAP1L,LRRC15",skipped,False
brain,True,True,Malignant glial cells,Proneural glioma stem-like cells,neoplastic,Glial cells,glial,"PDGFRA,PDGFA,OLIG1,OLIG2,SOX10,SOX2,SOX3,SOX8,SOX4,SOX21,SOX1,NKX2-2,NKX6-2,ASCL1,ASCL2,DLX2,DLX1,DLX5,NOTCH1,NOTCH2,NOTCH3,NOTCH4,HEY1,HEY2,HES1,HES5,MAML1,DLL1,DLL3,DLL4,JAG1,JAG2,MAP2,TUBB3,DCX,GPR17,GFRA2,IDH1,IDH2,ATRX,CITED2,MEF2C,FOXO3,TERT,CCND1,BRINP1,NEUROD1,NEUROD2,NEUROG1,NEUROG2,PAX6,PAX3,PROM1,NES,MSI1,MSI2,L1CAM,PTPRZ1,GPR56,CXCR4,ITGA6,ITGB4,ITGB1,FGFR1,FGFR3,ERBB3,ERBB4,AKT3,PIK3CA,PTEN,STAT3,FEZF2,NKAIN2,UNC5D,SEMA6D,LHX2",skipped,False
brain,True,True,Malignant glial cells,Diffuse midline glioma H3K27-altered cells,neoplastic,Glial cells,glial,"H3F3A,HIST1H3B,HIST1H3C,EZHIP,SUZ12,EED,EZH2,KDM6A,KDM6B,SETD2,SETD8,BRD2,BRD3,BRD4,PDGFRA,PDGFRB,ACVR1,PTPN11,PIK3CA,PIK3R1,AKT1,AKT2,SOX2,SOX9,SOX10,OLIG1,OLIG2,FOXG1,NKX2-2,NKX2-1,CCND1,CDK4,CDK6,CDK2,CDK1,MYC,MYCN,BCL2,BCL2L1,MCL1,TP53,ATRX,STAT3,STAT5A,STAT5B,ASCL1,SOX4,NOTCH1,NOTCH2,NOTCH3,BIRC5,MKI67,TOP2A,AURKA,UBE2C,WEE1,CDC25A,CDC25C,PTK2,FGFR1,FGFR2,FGF2,ITGA6,ITGB4,SPP1,TNC,VEGFA,ANGPT2,EPHA2,COL9A2,HES4,CRABP2,TFAP2A",skipped,False
brain,False,False,Progenitor cells,Neural stem/progenitor cells,background,Basaloid progenitor cells,basaloid_progenitor,"SOX2,NES,PAX6,EOMES,ASCL1,ASCL2,MSI1,MSI2,PROM1,EGFR,FGFR1,FGFR2,FGFR3,NOTCH1,NOTCH2,NOTCH3,NOTCH4,HES1,HES5,HES6,HEY1,HEY2,ID1,ID2,ID3,DLK1,DLX2,OLIG2,OLIG1,PTPRZ1,SOX1,SOX3,SOX21,FABP7,VIM,HOPX,LIFR,TNC,ITGA6,ITGB4,ITGB1,CD44,CD24,CD9,CD81,CDH2,MKI67,TOP2A,CDC20,TERT,FOXO3,PIK3CA,AKT3,PTEN,STAT3,STAT5B,POU3F2,GPR56,CXCR4,SALL4,FAM107A,TMSB15A,ZBTB16,PTPRN2",skipped,False
